time,voltage
0.0,0.01070255
5e-05,0.01408059
0.0001,0.01657691
0.00015,0.02048772
0.0002,0.01535153
0.00025,0.01714443
0.0003,0.01444876
0.00035,0.01693929
0.0004,0.01498974
0.00045,0.01643941
0.0005,0.01568569
0.00055,0.01247936
0.0006,0.01918127
0.00065,0.01838535
0.0007,0.01837273
0.00075,0.01862089
0.0008,0.01663649
0.00085,0.01492808
0.0009,0.01671616
0.00095,0.01205079
0.001,0.01129308
0.00105,0.01458213
0.0011,0.01707001
0.00115,0.01744279
0.0012,0.01890348
0.00125,0.01538494
0.0013,0.0127183
0.00135,0.01656693
0.0014,0.01254701
0.00145,0.01317252
0.0015,0.00671597
0.00155,0.01363064
0.0016,0.01223257
0.00165,0.01084842
0.0017,0.0133377
0.00175,0.01670771
0.0018,0.01981768
0.00185,0.0132274
0.0019,0.01927578
0.00195,0.01116385
0.002,0.01185462
0.00205,0.00867392
0.0021,0.00965037
0.00215,0.01801351
0.0022,0.01207994
0.00225,0.01413251
0.0023,0.01960378
0.00235,0.01497438
0.0024,0.01050117
0.00245,0.01111393
0.0025,0.0151027
0.00255,0.01197137
0.0026,0.00707526
0.00265,0.00946746
0.0027,0.00829859
0.00275,0.01755843
0.0028,0.01416199
0.00285,0.01162772
0.0029,0.01271897
0.00295,0.01274947
0.003,0.00844094
0.00305,0.00390744
0.0031,0.00366351
0.00315,0.0073476
0.0032,0.00475872
0.00325,0.00653274
0.0033,0.01144252
0.00335,0.00479796
0.0034,0.00625651
0.00345,0.00897731
0.0035,0.00321826
0.00355,0.00370052
0.0036,0.00499011
0.00365,0.00032085
0.0037,-3.68e-06
0.00375,0.00172457
0.0038,-0.00061683
0.00385,0.00200676
0.0039,0.00288516
0.00395,-0.00417174
0.004,0.00491485
0.00405,-0.00019267
0.0041,-0.00372997
0.00415,-0.00457478
0.0042,-0.00523314
0.00425,-0.00365823
0.0043,-0.00133044
0.00435,0.0007699
0.0044,0.00331815
0.00445,0.00040535
0.0045,-0.00049823
0.00455,-0.00107149
0.0046,-0.00099151
0.00465,-0.00669908
0.0047,-0.00664989
0.00475,-0.00497246
0.0048,-0.00468203
0.00485,-0.00609474
0.0049,0.00241862
0.00495,-0.00227277
0.005,0.00044551
0.00505,-0.0054482
0.0051,-0.00203291
0.00515,-0.00643871
0.0052,-0.00999307
0.00525,-0.01016285
0.0053,-0.01207938
0.00535,-0.01448929
0.0054,-0.01259335
0.00545,-0.00735412
0.0055,-0.01324249
0.00555,-0.0112256
0.0056,-0.01285913
0.00565,-0.01436823
0.0057,-0.01565296
0.00575,-0.01653163
0.0058,-0.01778825
0.00585,-0.02749189
0.0059,-0.02100833
0.00595,-0.01812566
0.006,-0.02386956
0.00605,-0.02031852
0.0061,-0.02596627
0.00615,-0.02533688
0.0062,-0.02436467
0.00625,-0.02444649
0.0063,-0.0335196
0.00635,-0.03002588
0.0064,-0.03000804
0.00645,-0.02984659
0.0065,-0.02720437
0.00655,-0.02401461
0.0066,-0.02698301
0.00665,-0.02324699
0.0067,-0.0236452
0.00675,-0.02365197
