time,voltage
0.0,0.12748625
0.0005,0.11275717
0.001,0.12346178
0.0015,0.17395733
0.002,0.17286704
0.0025,0.18854119
0.003,0.15204926
0.0035,0.06777306
0.004,0.01416955
0.0045,-0.23741759
0.005,-0.30927477
0.0055,-0.39991561
0.006,-0.4162521
0.0065,-0.35010451
0.007,-0.27178153
0.0075,-0.24467401
0.008,-0.29361702
0.0085,-0.34592541
0.009,-0.26089366
0.0095,-0.20361006
0.01,-0.08193143
0.0105,-0.00605907
0.011,-0.03540471
0.0115,-0.10376202
0.012,-0.13968486
0.0125,-0.19910015
0.013,-0.23969895
0.0135,-0.22489672
0.014,-0.02465678
0.0145,-0.00594707
0.015,0.11767629
0.0155,0.11581281
0.016,0.19861357
0.0165,0.26333007
0.017,0.35022063
0.0175,0.44591599
0.018,0.42612408
0.0185,0.44161767
0.019,0.36491413
0.0195,0.20269349
0.02,0.09180553
0.0205,0.04369694
0.021,0.05292565
0.0215,0.07498199
0.022,0.12089181
0.0225,0.11589816
0.023,0.11945634
0.0235,0.0783009
0.024,0.09088718
0.0245,0.04885163
0.025,0.11020601
0.0255,0.13593617
0.026,0.02580744
0.0265,-0.13014197
0.027,-0.27767169
0.0275,-0.34201272
0.028,-0.48538296
0.0285,-0.43553323
0.029,-0.45464832
0.0295,-0.36658347
0.03,-0.27148748
0.0305,-0.19110215
0.031,-0.17578151
0.0315,-0.22694589
0.032,-0.14037195
0.0325,-0.0357988
0.033,0.02027317
0.0335,0.08876468
0.034,-0.01270797
0.0345,-0.02639779
0.035,-0.16410764
0.0355,-0.15250859
0.036,-0.17729335
0.0365,-0.01923445
0.037,-0.00776524
0.0375,0.16312754
0.038,0.26477975
0.0385,0.33249124
0.039,0.25636538
0.0395,0.31198295
0.04,0.45027385
0.0405,0.4457933
0.041,0.40144483
0.0415,0.34468113
0.042,0.28831311
0.0425,0.14731213
0.043,-0.01833249
0.0435,-0.07177378
0.044,-0.03423567
0.0445,0.03744375
0.045,0.07832038
0.0455,0.06980893
0.046,0.06713958
0.0465,0.06158825
0.047,-0.00182415
0.0475,0.00609033
0.048,-0.06748444
0.0485,-0.08803486
0.049,-0.0523691
0.0495,-0.26182339
0.05,-0.32106571
0.0505,-0.48317748
0.051,-0.50279675
0.0515,-0.45423361
0.052,-0.36132651
0.0525,-0.21812523
0.053,-0.16713526
0.0535,-0.20066132
0.054,-0.11150392
0.0545,-0.09192262
0.055,-0.0325166
0.0555,0.13013045
0.056,0.13292784
0.0565,0.00560884
0.057,-0.00277349
0.0575,-0.02122952
0.058,-0.1056534
0.0585,-0.03244341
0.059,0.04307996
0.0595,0.13546458
0.06,0.22272738
0.0605,0.33161503
0.061,0.37911984
0.0615,0.37987336
0.062,0.37553458
0.0625,0.3738402
0.063,0.33436299
0.0635,0.41451643
0.064,0.31537527
0.0645,0.24608608
0.065,0.14819582
0.0655,-0.01311136
0.066,-0.13673441
0.0665,-0.17450267
0.067,-0.13417087
0.0675,0.01467196
0.068,-0.03423938
0.0685,-0.00176259
0.069,0.03308066
0.0695,-0.04910507
0.07,-0.04509216
0.0705,-0.0787088
0.071,-0.17033926
0.0715,-0.13635326
0.072,-0.21672991
0.0725,-0.36003131
0.073,-0.44071487
0.0735,-0.5192259
0.074,-0.51120819
0.0745,-0.38390949
0.075,-0.296987
0.0755,-0.17080786
0.076,-0.06509703
0.0765,0.00358706
0.077,-0.00706461
0.0775,0.05723326
0.078,0.08306519
0.0785,0.1882553
0.079,0.15303673
0.0795,0.18709981
0.08,0.07352182
0.0805,0.12703285
0.081,0.09505189
0.0815,0.02867106
0.082,0.10760189
0.0825,0.21403587
0.083,0.27517287
0.0835,0.44833423
0.084,0.39434508
0.0845,0.33997632
0.085,0.3372218
0.0855,0.35603943
0.086,0.32122236
0.0865,0.26758086
0.087,0.22518848
0.0875,0.04753617
0.088,-0.10798739
0.0885,-0.11115908
0.089,-0.27469856
0.0895,-0.20019679
0.09,-0.12661568
0.0905,-0.07045881
0.091,-0.02079389
0.0915,-0.05124875
0.092,-0.08542097
0.0925,-0.15498152
0.093,-0.18799972
0.0935,-0.24758806
0.094,-0.20396305
0.0945,-0.19488421
0.095,-0.28751249
0.0955,-0.33894118
0.096,-0.4725763
0.0965,-0.46010922
0.097,-0.36358021
0.0975,-0.25645254
0.098,-0.11281307
0.0985,-0.00520651
0.099,0.04564516
0.0995,0.12184457
0.1,0.14473969
0.1005,0.12699368
0.101,0.22281414
0.1015,0.21093948
0.102,0.21889978
0.1025,0.15943606
0.103,0.13958127
0.1035,0.02839864
0.104,0.11336237
0.1045,0.08790436
0.105,0.21610663
0.1055,0.2771681
0.106,0.37591542
