time,voltage
0.0,-0.45090475
0.0005,-0.23098174
0.001,-0.23502504
0.0015,-0.10765335
0.002,-0.18516748
0.0025,-0.11009612
0.003,-0.0432865
0.0035,0.02221862
0.004,0.0519407
0.0045,0.03429645
0.005,-0.093527
0.0055,-0.17270344
0.006,-0.15984919
0.0065,-0.15786218
0.007,0.04834504
0.0075,0.10008747
0.008,0.20171672
0.0085,0.30932776
0.009,0.35384246
0.0095,0.35697074
0.01,0.45949586
0.0105,0.4866303
0.011,0.51927584
0.0115,0.50331226
0.012,0.3506141
0.0125,0.18385835
0.013,0.10169039
0.0135,0.003856
0.014,-0.04964112
0.0145,0.03378625
0.015,0.02531859
0.0155,0.05944959
0.016,0.12216234
0.0165,0.09585693
0.017,0.04858932
0.0175,0.14595098
0.018,0.04725503
0.0185,0.08800423
0.019,0.03497425
0.0195,-0.13272708
0.02,-0.24248816
0.0205,-0.45645782
0.021,-0.50871853
0.0215,-0.5122103
0.022,-0.48608382
0.0225,-0.34441793
0.023,-0.29016002
0.0235,-0.24586065
0.024,-0.2444972
0.0245,-0.18083844
0.025,-0.0680286
0.0255,0.02099219
0.026,0.04463544
0.0265,0.09104561
0.027,-0.00096103
0.0275,-0.05753618
0.028,-0.12866734
0.0285,-0.17819384
0.029,-0.11146812
0.0295,0.01859502
0.03,0.1156845
0.0305,0.17033728
0.031,0.24132097
0.0315,0.27515953
0.032,0.37832636
0.0325,0.39018564
0.033,0.44789095
0.0335,0.5218419
0.034,0.44014039
0.0345,0.35543587
0.035,0.21732786
0.0355,0.11738797
0.036,0.01095564
0.0365,0.001558
0.037,-0.00598299
0.0375,0.02224854
0.038,0.09570726
0.0385,0.09503469
0.039,0.02274702
0.0395,0.06866533
0.04,-0.00053621
0.0405,0.08772643
0.041,0.04718599
0.0415,-0.05056528
0.042,-0.13206769
0.0425,-0.30947087
0.043,-0.38399361
0.0435,-0.53381239
0.044,-0.53813259
0.0445,-0.42402062
0.045,-0.37083976
0.0455,-0.27524916
0.046,-0.30638444
0.0465,-0.284124
0.047,-0.18345236
0.0475,-0.08277284
0.048,-0.02009415
0.0485,0.10644048
0.049,0.08803741
0.0495,0.02864719
0.05,-0.06538446
0.0505,-0.14599523
0.051,-0.1524313
0.0515,-0.1288842
0.052,0.0194658
0.0525,0.02220867
0.053,0.12121516
0.0535,0.16700691
0.054,0.24600139
0.0545,0.37836518
0.055,0.3757676
0.0555,0.53402141
0.056,0.48504348
0.0565,0.54624281
0.057,0.39175929
0.0575,0.28146548
0.058,0.08936456
0.0585,-0.03495801
0.059,0.02246496
0.0595,0.0960831
0.06,0.11154297
0.0605,0.05835597
0.061,0.04009232
0.0615,0.09541816
0.062,0.01556777
0.0625,0.03531693
0.063,0.03598597
0.0635,0.08135313
0.064,0.03783876
0.0645,-0.11239923
0.065,-0.30291397
0.0655,-0.39714708
0.066,-0.47224665
0.0665,-0.47332937
0.067,-0.49747151
0.0675,-0.38155336
0.068,-0.29925387
