time,voltage
0.0,-0.61020358
0.0005,-0.65263814
0.001,-0.5955739
0.0015,-0.45873153
0.002,-0.2944579
0.0025,-0.18186008
0.003,-0.16230191
0.0035,-0.0970341
0.004,-0.01569812
0.0045,0.02989798
0.005,0.09807596
0.0055,0.16061456
0.006,0.08290346
0.0065,0.1022566
0.007,-0.04494554
0.0075,-0.0732649
0.008,-0.06318675
0.0085,0.05141556
0.009,0.26634379
0.0095,0.34298521
0.01,0.47333996
0.0105,0.52012529
0.011,0.54947694
0.0115,0.51073271
0.012,0.59044619
0.0125,0.59296703
0.013,0.5007047
0.0135,0.33009229
0.014,0.18113798
0.0145,0.08747133
0.015,-0.1431608
0.0155,-0.126233
0.016,-0.13106714
0.0165,-0.04723582
0.017,-0.0624417
0.0175,-0.07931397
0.018,-0.08186363
0.0185,-0.11270781
0.019,-0.10731251
0.0195,-0.15892185
0.02,-0.13359582
0.0205,-0.1013109
0.021,-0.30262682
0.0215,-0.38496533
0.022,-0.57867134
0.0225,-0.65705618
0.023,-0.64904301
0.0235,-0.53100083
0.024,-0.46719262
0.0245,-0.36723756
0.025,-0.25567712
0.0255,-0.18915544
0.026,-0.13173875
0.0265,-0.02144835
0.027,0.07873381
0.0275,0.14439266
0.028,0.24145299
0.0285,0.21277026
0.029,0.08146945
0.0295,-0.01812226
0.03,-0.00233997
0.0305,-0.0525027
0.031,0.15384572
0.0315,0.28956572
0.032,0.37183934
0.0325,0.38578814
0.033,0.422569
0.0335,0.50066651
0.034,0.46802638
0.0345,0.5413503
0.035,0.60412597
0.0355,0.60831383
0.036,0.43648082
0.0365,0.22110432
0.037,0.1488353
0.0375,-0.17736802
0.038,-0.1961374
0.0385,-0.14285323
0.039,-0.08960478
0.0395,-0.13986824
0.04,-0.14047931
0.0405,-0.20899895
0.041,-0.18722877
0.0415,-0.13751628
0.042,-0.09497294
0.0425,-0.0621763
0.043,-0.10577031
0.0435,-0.30880549
0.044,-0.38997649
0.0445,-0.52045862
0.045,-0.62152365
0.0455,-0.52338052
0.046,-0.53419345
0.0465,-0.40820424
0.047,-0.39549383
0.0475,-0.3160531
0.048,-0.15728472
0.0485,-0.13568352
0.049,0.02566676
0.0495,0.23937986
0.05,0.32415367
0.0505,0.3637563
0.051,0.28972925
0.0515,0.17353751
0.052,0.0958248
0.0525,0.06041871
0.053,0.07440233
0.0535,0.22087001
0.054,0.24351085
0.0545,0.21563526
0.055,0.33983374
0.0555,0.34261124
0.056,0.41904713
0.0565,0.5336619
0.057,0.53866999
0.0575,0.57627673
0.058,0.454745
0.0585,0.32617922
0.059,0.24300578
0.0595,0.04172681
0.06,-0.06844046
0.0605,-0.10845985
0.061,-0.16637122
0.0615,-0.18890394
0.062,-0.2436464
0.0625,-0.25665679
0.063,-0.29591149
0.0635,-0.30600006
0.064,-0.15234683
0.0645,-0.16218161
0.065,-0.08991032
0.0655,-0.16680124
0.066,-0.20528919
0.0665,-0.36301302
0.067,-0.44992138
0.0675,-0.55699725
0.068,-0.51907872
0.0685,-0.43499966
0.069,-0.36206551
0.0695,-0.4193793
0.07,-0.37894598
0.0705,-0.26407117
0.071,-0.10511021
0.0715,-0.00462196
0.072,0.18383596
0.0725,0.34531498
0.073,0.32662748
0.0735,0.31790486
0.074,0.25363774
0.0745,0.21897575
0.075,0.15052118
0.0755,0.18660098
0.076,0.2178614
0.0765,0.19458834
0.077,0.23337589
0.0775,0.22633143
0.078,0.25535503
0.0785,0.2987902
0.079,0.50078384
0.0795,0.57533726
0.08,0.60802144
0.0805,0.47457123
0.081,0.40110032
0.0815,0.14455657
0.082,0.06688082
0.0825,-0.0530246
0.083,-0.11126212
0.0835,-0.21592697
0.084,-0.2585326
0.0845,-0.37902651
0.085,-0.37169726
0.0855,-0.39332254
0.086,-0.35158955
0.0865,-0.23260695
0.087,-0.19266665
0.0875,-0.02354857
0.088,-0.19234855
0.0885,-0.19857497
0.089,-0.33748038
0.0895,-0.46584589
0.09,-0.45660182
0.0905,-0.39593208
0.091,-0.34542575
0.0915,-0.42639363
0.092,-0.39910802
0.0925,-0.37268752
0.093,-0.23925221
0.0935,-0.12152441
0.094,0.13777438
0.0945,0.24726226
0.095,0.40786368
0.0955,0.40510696
0.096,0.4452726
0.0965,0.30137353
0.097,0.35411169
0.0975,0.20270838
0.098,0.32108312
0.0985,0.37404103
0.099,0.23282704
0.0995,0.22945474
0.1,0.2457345
0.1005,0.2212658
0.101,0.27202339
0.1015,0.45195519
0.102,0.48633231
0.1025,0.54749745
0.103,0.43970689
0.1035,0.35081007
0.104,0.16686777
0.1045,0.08082502
0.105,0.03753136
0.1055,-0.09810387
0.106,-0.13204932
0.1065,-0.31964704
0.107,-0.43266337
0.1075,-0.48673214
0.108,-0.52423235
0.1085,-0.50382268
0.109,-0.38036992
0.1095,-0.17873103
0.11,-0.16655806
0.1105,-0.20761124
0.111,-0.26683159
0.1115,-0.32420105
0.112,-0.35608735
0.1125,-0.32208593
0.113,-0.23874836
0.1135,-0.31761498
0.114,-0.42165146
0.1145,-0.39613726
